Date,Destination,Min Price
2022-01-01,BOM,38.73
2022-01-01,BLR,35.34
2022-01-01,MAA,36.9
2022-01-01,HYD,37.8
2022-01-01,CCU,35.65
2022-01-02,BOM,38.73
2022-01-02,MAA,36.9
2022-01-02,HYD,37.8
2022-01-02,CCU,35.65
2022-01-03,BOM,38.73
2022-01-03,BLR,35.34
2022-01-03,MAA,36.9
2022-01-03,HYD,37.8
2022-01-03,CCU,35.65
2022-01-04,BOM,38.73
2022-01-04,BLR,35.34
2022-01-04,MAA,36.9
2022-01-04,HYD,37.8
2022-01-05,BOM,38.73
2022-01-05,BLR,35.34
2022-01-05,MAA,36.9
2022-01-05,HYD,37.8
2022-01-05,CCU,35.65
2022-01-06,BOM,38.73
2022-01-06,BLR,35.34
2022-01-06,MAA,36.9
2022-01-06,HYD,37.8
2022-01-06,CCU,35.65
2022-01-07,BLR,35.34
2022-01-07,MAA,36.9
2022-01-07,HYD,37.8
2022-01-07,CCU,35.65
2022-01-08,BOM,38.73
2022-01-08,MAA,36.9
2022-01-08,HYD,37.8
2022-01-08,CCU,35.65
2022-01-09,BOM,38.73
2022-01-09,BLR,35.34
2022-01-09,MAA,36.9
2022-01-09,HYD,37.8
2022-01-09,CCU,35.65
2022-01-10,BOM,38.73
2022-01-10,BLR,35.34
2022-01-10,MAA,36.9
2022-01-10,HYD,37.8
2022-01-10,CCU,35.65
2022-01-11,BOM,38.73
2022-01-11,BLR,35.34
2022-01-11,HYD,37.8
2022-01-11,CCU,35.65
2022-01-12,BOM,38.73
2022-01-12,BLR,35.34
2022-01-12,HYD,37.8
2022-01-12,CCU,35.65
2022-01-13,BOM,38.73
2022-01-13,BLR,35.34
2022-01-13,MAA,36.9
2022-01-13,CCU,35.65
2022-01-14,BOM,38.73
2022-01-14,BLR,35.34
2022-01-14,MAA,36.9
2022-01-14,CCU,35.65
2022-01-15,BOM,38.73
2022-01-15,MAA,36.9
2022-01-15,HYD,37.8
2022-01-15,CCU,35.65
2022-01-16,BOM,38.73
2022-01-16,MAA,36.9
2022-01-16,CCU,35.65
2022-01-17,BOM,38.73
2022-01-17,BLR,35.34
2022-01-17,MAA,36.9
2022-01-17,HYD,37.8
2022-01-17,CCU,35.65
2022-01-18,BOM,38.73
2022-01-18,BLR,35.34
2022-01-18,MAA,36.9
2022-01-18,CCU,35.65
2022-01-19,BOM,38.73
2022-01-19,BLR,35.34
2022-01-19,MAA,36.9
2022-01-19,HYD,37.8
2022-01-19,CCU,35.65
2022-01-20,BOM,38.73
2022-01-20,BLR,35.34
2022-01-20,MAA,36.9
2022-01-20,HYD,37.8
2022-01-20,CCU,35.65
2022-01-21,BLR,35.34
2022-01-21,MAA,36.9
2022-01-21,HYD,37.8
2022-01-21,CCU,35.65
2022-01-22,BOM,38.73
2022-01-22,BLR,35.34
2022-01-22,MAA,36.9
2022-01-22,HYD,37.8
2022-01-22,CCU,35.65
2022-01-23,BOM,38.73
2022-01-23,BLR,35.34
2022-01-23,MAA,36.9
2022-01-23,HYD,37.8
2022-01-23,CCU,35.65
2022-01-24,BOM,38.73
2022-01-24,BLR,35.34
2022-01-24,MAA,36.9
2022-01-24,HYD,37.8
